"DateTime","Players","Average Players"
"2014-12-01 00:00:00",16349,
"2014-12-02 00:00:00",,
"2014-12-03 00:00:00",,
"2014-12-04 00:00:00",,
"2014-12-05 00:00:00",,
"2014-12-06 00:00:00",,
"2014-12-07 00:00:00",,
"2014-12-08 00:00:00",,
"2014-12-09 00:00:00",,
"2014-12-10 00:00:00",,
"2014-12-11 00:00:00",,
"2014-12-12 00:00:00",,
"2014-12-13 00:00:00",,
"2014-12-14 00:00:00",7945,
"2014-12-15 00:00:00",12227,
"2014-12-16 00:00:00",12314,
"2014-12-17 00:00:00",12545,
"2014-12-18 00:00:00",13116,
"2014-12-19 00:00:00",14731,
"2014-12-20 00:00:00",15105,
"2014-12-21 00:00:00",14639,
"2014-12-22 00:00:00",12938,
"2014-12-23 00:00:00",11927,
"2014-12-24 00:00:00",9842,
"2014-12-25 00:00:00",11347,
"2014-12-26 00:00:00",12101,
"2014-12-27 00:00:00",12258,
"2014-12-28 00:00:00",12508,
"2014-12-29 00:00:00",15831,
"2014-12-30 00:00:00",16393,
"2014-12-31 00:00:00",17972,
"2015-01-01 00:00:00",19612,
"2015-01-02 00:00:00",18342,
"2015-01-03 00:00:00",17707,
"2015-01-04 00:00:00",16194,
"2015-01-05 00:00:00",12306,
"2015-01-06 00:00:00",10426,
"2015-01-07 00:00:00",9932,
"2015-01-08 00:00:00",10025,
"2015-01-09 00:00:00",12276,
"2015-01-10 00:00:00",12489,
"2015-01-11 00:00:00",11520,
"2015-01-12 00:00:00",7845,
"2015-01-13 00:00:00",7278,
"2015-01-14 00:00:00",6675,
"2015-01-15 00:00:00",7289,
"2015-01-16 00:00:00",9645,
"2015-01-17 00:00:00",9875,
"2015-01-18 00:00:00",9356,
"2015-01-19 00:00:00",7545,
"2015-01-20 00:00:00",5907,
"2015-01-21 00:00:00",5527,
"2015-01-22 00:00:00",5916,
"2015-01-23 00:00:00",7804,
"2015-01-24 00:00:00",8015,
"2015-01-25 00:00:00",7664,
"2015-01-26 00:00:00",5475,
"2015-01-27 00:00:00",4516,
"2015-01-28 00:00:00",4526,
"2015-01-29 00:00:00",4956,
"2015-01-30 00:00:00",6618,
"2015-01-31 00:00:00",6763,
"2015-02-01 00:00:00",7268,
"2015-02-02 00:00:00",4795,
"2015-02-03 00:00:00",3844,
"2015-02-04 00:00:00",3393,
"2015-02-05 00:00:00",3629,
"2015-02-06 00:00:00",3629,
"2015-02-07 00:00:00",3629,
"2015-02-08 00:00:00",3629,
"2015-02-09 00:00:00",3629,
"2015-02-10 00:00:00",2907,
"2015-02-11 00:00:00",1776,
"2015-02-12 00:00:00",1776,
"2015-02-13 00:00:00",5807,
"2015-02-14 00:00:00",7319,
"2015-02-15 00:00:00",7412,
"2015-02-16 00:00:00",,
"2015-02-17 00:00:00",4775,
"2015-02-18 00:00:00",4752,
"2015-02-19 00:00:00",4969,
"2015-02-20 00:00:00",6410,
"2015-02-21 00:00:00",6677,
"2015-02-22 00:00:00",6609,
"2015-02-23 00:00:00",4223,
"2015-02-24 00:00:00",3976,
"2015-02-25 00:00:00",,
"2015-02-26 00:00:00",,
"2015-02-27 00:00:00",,
"2015-02-28 00:00:00",,
"2015-03-01 00:00:00",5922,
"2015-03-02 00:00:00",,
"2015-03-03 00:00:00",,
"2015-03-04 00:00:00",,
"2015-03-05 00:00:00",,
"2015-03-06 00:00:00",,
"2015-03-07 00:00:00",,
"2015-03-08 00:00:00",,
"2015-03-09 00:00:00",,
"2015-03-10 00:00:00",,
"2015-03-11 00:00:00",,
"2015-03-12 00:00:00",,
"2015-03-13 00:00:00",,
"2015-03-14 00:00:00",,
"2015-03-15 00:00:00",,
"2015-03-16 00:00:00",,
"2015-03-17 00:00:00",,
"2015-03-18 00:00:00",,
"2015-03-19 00:00:00",,
"2015-03-20 00:00:00",,
"2015-03-21 00:00:00",,
"2015-03-22 00:00:00",,
"2015-03-23 00:00:00",,
"2015-03-24 00:00:00",,
"2015-03-25 00:00:00",,
"2015-03-26 00:00:00",,
"2015-03-27 00:00:00",,
"2015-03-28 00:00:00",,
"2015-03-29 00:00:00",,
"2015-03-30 00:00:00",,
"2015-03-31 00:00:00",,
"2015-04-01 00:00:00",9240,
"2015-04-02 00:00:00",,
"2015-04-03 00:00:00",,
"2015-04-04 00:00:00",,
"2015-04-05 00:00:00",,
"2015-04-06 00:00:00",,
"2015-04-07 00:00:00",,
"2015-04-08 00:00:00",,
"2015-04-09 00:00:00",,
"2015-04-10 00:00:00",,
"2015-04-11 00:00:00",,
"2015-04-12 00:00:00",,
"2015-04-13 00:00:00",,
"2015-04-14 00:00:00",,
"2015-04-15 00:00:00",,
"2015-04-16 00:00:00",,
"2015-04-17 00:00:00",,
"2015-04-18 00:00:00",,
"2015-04-19 00:00:00",3220,
"2015-04-20 00:00:00",2734,
"2015-04-21 00:00:00",3729,
"2015-04-22 00:00:00",4486,
"2015-04-23 00:00:00",5072,
"2015-04-24 00:00:00",6297,
"2015-04-25 00:00:00",8860,
"2015-04-26 00:00:00",9289,
"2015-04-27 00:00:00",7264,
"2015-04-28 00:00:00",5748,
"2015-04-29 00:00:00",5028,
"2015-04-30 00:00:00",5421,
"2015-05-01 00:00:00",6013,
"2015-05-02 00:00:00",6795,
"2015-05-03 00:00:00",6962,
"2015-05-04 00:00:00",5578,
"2015-05-05 00:00:00",4283,
"2015-05-06 00:00:00",3750,
"2015-05-07 00:00:00",3665,
"2015-05-08 00:00:00",4472,
"2015-05-09 00:00:00",5565,
"2015-05-10 00:00:00",5354,
"2015-05-11 00:00:00",4448,
"2015-05-12 00:00:00",3554,
"2015-05-13 00:00:00",3568,
"2015-05-14 00:00:00",3588,
"2015-05-15 00:00:00",4133,
"2015-05-16 00:00:00",5309,
"2015-05-17 00:00:00",5301,
"2015-05-18 00:00:00",4191,
"2015-05-19 00:00:00",3210,
"2015-05-20 00:00:00",3134,
"2015-05-21 00:00:00",3214,
"2015-05-22 00:00:00",3750,
"2015-05-23 00:00:00",4571,
"2015-05-24 00:00:00",4836,
"2015-05-25 00:00:00",4498,
"2015-05-26 00:00:00",3712,
"2015-05-27 00:00:00",3258,
"2015-05-28 00:00:00",3194,
"2015-05-29 00:00:00",3304,
"2015-05-30 00:00:00",4341,
"2015-05-31 00:00:00",4586,
"2015-06-01 00:00:00",3757,
"2015-06-02 00:00:00",3091,
"2015-06-03 00:00:00",7198,
"2015-06-04 00:00:00",8235,
"2015-06-05 00:00:00",8948,
"2015-06-06 00:00:00",9579,
"2015-06-07 00:00:00",9905,
"2015-06-08 00:00:00",8233,
"2015-06-09 00:00:00",7486,
