"DateTime","Players","Average Players"
"2023-03-24 00:00:00",140240,99752
"2023-03-25 00:00:00",168191,139607
"2023-03-26 00:00:00",164059,137095
"2023-03-27 00:00:00",122769,95992
"2023-03-28 00:00:00",111995,83975
"2023-03-29 00:00:00",101405,76497
"2023-03-30 00:00:00",93963,70595
"2023-03-31 00:00:00",92270,69323
"2023-04-01 00:00:00",104002,82508
"2023-04-02 00:00:00",98967,80861
"2023-04-03 00:00:00",74408,56677
"2023-04-04 00:00:00",70627,52481
"2023-04-05 00:00:00",64498,51811
"2023-04-06 00:00:00",61498,45750
"2023-04-07 00:00:00",78674,56876
"2023-04-08 00:00:00",73234,58640
"2023-04-09 00:00:00",65720,54669
"2023-04-10 00:00:00",55050,40392
"2023-04-11 00:00:00",46814,33897
"2023-04-12 00:00:00",42553,31075
"2023-04-13 00:00:00",40265,28828
"2023-04-14 00:00:00",40858,29296
"2023-04-15 00:00:00",47164,36479
"2023-04-16 00:00:00",44583,36229
"2023-04-17 00:00:00",32900,24503
"2023-04-18 00:00:00",30971,22533
"2023-04-19 00:00:00",29378,20999
"2023-04-20 00:00:00",27714,19863
"2023-04-21 00:00:00",29541,20719
"2023-04-22 00:00:00",32438,25452
"2023-04-23 00:00:00",31800,24676
"2023-04-24 00:00:00",23832,17532
"2023-04-25 00:00:00",23167,16265
"2023-04-26 00:00:00",20211,14649
"2023-04-27 00:00:00",19219,13835
"2023-04-28 00:00:00",19978,14228
"2023-04-29 00:00:00",23183,18071
"2023-04-30 00:00:00",22787,18512
"2023-05-01 00:00:00",21143,16347
"2023-05-02 00:00:00",16506,12842
"2023-05-03 00:00:00",15624,12083
"2023-05-04 00:00:00",15114,10931
"2023-05-05 00:00:00",15522,11264
"2023-05-06 00:00:00",18104,13167
"2023-05-07 00:00:00",17299,13967
"2023-05-08 00:00:00",13927,9781
"2023-05-09 00:00:00",12839,8773
"2023-05-10 00:00:00",12015,8315
"2023-05-11 00:00:00",11475,8010
"2023-05-12 00:00:00",11800,8157
"2023-05-13 00:00:00",13455,10134
"2023-05-14 00:00:00",12850,10167
"2023-05-15 00:00:00",9875,7090
"2023-05-16 00:00:00",9442,6565
"2023-05-17 00:00:00",9072,6357
"2023-05-18 00:00:00",9090,6289
"2023-05-19 00:00:00",9403,6406
"2023-05-20 00:00:00",10424,7975
"2023-05-21 00:00:00",10272,8095
"2023-05-22 00:00:00",8068,5712
"2023-05-23 00:00:00",7736,5316
"2023-05-24 00:00:00",7272,5021
"2023-05-25 00:00:00",7225,4940
"2023-05-26 00:00:00",7800,5256
"2023-05-27 00:00:00",8750,6585
"2023-05-28 00:00:00",8465,6716
"2023-05-29 00:00:00",7459,5315
"2023-05-30 00:00:00",6473,4510
"2023-05-31 00:00:00",6066,4306
"2023-06-01 00:00:00",5909,4190
"2023-06-02 00:00:00",6153,4310
"2023-06-03 00:00:00",7201,5406
"2023-06-04 00:00:00",7216,5603
"2023-06-05 00:00:00",5648,4051
"2023-06-06 00:00:00",5606,3886
"2023-06-07 00:00:00",5268,3638
"2023-06-08 00:00:00",5421,3716
"2023-06-09 00:00:00",5360,3714
"2023-06-10 00:00:00",6034,4499
"2023-06-11 00:00:00",5839,4671
"2023-06-12 00:00:00",4790,3472
"2023-06-13 00:00:00",4731,3274
"2023-06-14 00:00:00",4437,3142
"2023-06-15 00:00:00",4340,3058
"2023-06-16 00:00:00",4512,3170
"2023-06-17 00:00:00",5354,4019
"2023-06-18 00:00:00",5303,4183
"2023-06-19 00:00:00",4327,3152
"2023-06-20 00:00:00",4164,3008
"2023-06-21 00:00:00",4184,3021
"2023-06-22 00:00:00",4294,3213
"2023-06-23 00:00:00",4403,3290
"2023-06-24 00:00:00",4799,3723
"2023-06-25 00:00:00",4986,3792
"2023-06-26 00:00:00",3955,2960
"2023-06-27 00:00:00",3999,2888
"2023-06-28 00:00:00",3727,2772
"2023-06-29 00:00:00",3683,2697
"2023-06-30 00:00:00",3921,2827
"2023-07-01 00:00:00",4585,3458
"2023-07-02 00:00:00",4504,3648
"2023-07-03 00:00:00",3726,2853
"2023-07-04 00:00:00",3839,2864
"2023-07-05 00:00:00",3477,2660
"2023-07-06 00:00:00",3272,2546
"2023-07-07 00:00:00",3716,2699
"2023-07-08 00:00:00",4227,3331
"2023-07-09 00:00:00",4244,3491
"2023-07-10 00:00:00",3430,2643
"2023-07-11 00:00:00",3354,2535
"2023-07-12 00:00:00",3272,2494
"2023-07-13 00:00:00",3268,2478
"2023-07-14 00:00:00",3451,2584
"2023-07-15 00:00:00",4138,3231
"2023-07-16 00:00:00",4302,3464
"2023-07-17 00:00:00",3568,2783
"2023-07-18 00:00:00",3460,2579
"2023-07-19 00:00:00",3376,2552
"2023-07-20 00:00:00",3456,2546
"2023-07-21 00:00:00",3508,2603
"2023-07-22 00:00:00",4018,3107
"2023-07-23 00:00:00",4141,3307
"2023-07-24 00:00:00",3455,2590
"2023-07-25 00:00:00",3421,2496
"2023-07-26 00:00:00",3378,2436
"2023-07-27 00:00:00",3348,2459
"2023-07-28 00:00:00",3499,2525
"2023-07-29 00:00:00",3950,2961
"2023-07-30 00:00:00",3836,3114
"2023-07-31 00:00:00",3281,2467
"2023-08-01 00:00:00",3226,2401
"2023-08-02 00:00:00",3233,2340
"2023-08-03 00:00:00",3144,2294
"2023-08-04 00:00:00",3193,2278
"2023-08-05 00:00:00",3700,2773
"2023-08-06 00:00:00",3798,2974
"2023-08-07 00:00:00",3167,2319
"2023-08-08 00:00:00",3012,2201
"2023-08-09 00:00:00",3004,2183
"2023-08-10 00:00:00",2929,2141
"2023-08-11 00:00:00",2970,2254
"2023-08-12 00:00:00",3440,2648
"2023-08-13 00:00:00",3543,2842
"2023-08-14 00:00:00",3085,2329
"2023-08-15 00:00:00",3052,2300
"2023-08-16 00:00:00",2746,2097
"2023-08-17 00:00:00",2750,2022
"2023-08-18 00:00:00",2892,2097
"2023-08-19 00:00:00",3305,2546
"2023-08-20 00:00:00",3473,2721
"2023-08-21 00:00:00",2832,2118
"2023-08-22 00:00:00",2822,2006
"2023-08-23 00:00:00",2856,2024
"2023-08-24 00:00:00",2727,1998
"2023-08-25 00:00:00",2903,2045
"2023-08-26 00:00:00",3275,2525
"2023-08-27 00:00:00",3547,2762
"2023-08-28 00:00:00",2864,2054
"2023-08-29 00:00:00",2824,1996
"2023-08-30 00:00:00",2775,1984
"2023-08-31 00:00:00",2677,1912
"2023-09-01 00:00:00",2861,1966
"2023-09-02 00:00:00",3274,2458
"2023-09-03 00:00:00",3240,2595
"2023-09-04 00:00:00",2835,2097
"2023-09-05 00:00:00",2650,1865
"2023-09-06 00:00:00",2543,1779
"2023-09-07 00:00:00",2626,1858
"2023-09-08 00:00:00",2852,1958
"2023-09-09 00:00:00",3299,2428
"2023-09-10 00:00:00",3328,2589
"2023-09-11 00:00:00",2593,1911
"2023-09-12 00:00:00",3984,2535
"2023-09-13 00:00:00",5462,3313
"2023-09-14 00:00:00",6079,3773
"2023-09-15 00:00:00",7359,4649
"2023-09-16 00:00:00",9320,6412
"2023-09-17 00:00:00",10024,7122
"2023-09-18 00:00:00",8709,5471
"2023-09-19 00:00:00",9202,5550
"2023-09-20 00:00:00",9197,5664
"2023-09-21 00:00:00",49871,26313
"2023-09-22 00:00:00",45003,28732
"2023-09-23 00:00:00",44644,31996
"2023-09-24 00:00:00",40590,29753
"2023-09-25 00:00:00",31918,19777
"2023-09-26 00:00:00",28437,17156
"2023-09-27 00:00:00",24869,15172
"2023-09-28 00:00:00",22293,14203
"2023-09-29 00:00:00",21474,15048
"2023-09-30 00:00:00",23087,16580
"2023-10-01 00:00:00",21852,16152
"2023-10-02 00:00:00",17226,12259
"2023-10-03 00:00:00",16706,11440
"2023-10-04 00:00:00",15294,10459
"2023-10-05 00:00:00",14866,10010
"2023-10-06 00:00:00",14662,9854
"2023-10-07 00:00:00",16537,10844
"2023-10-08 00:00:00",16573,11087
"2023-10-09 00:00:00",13100,8679
"2023-10-10 00:00:00",12102,7353
"2023-10-11 00:00:00",11176,6758
"2023-10-12 00:00:00",11071,6702
"2023-10-13 00:00:00",11078,6936
"2023-10-14 00:00:00",13032,8725
"2023-10-15 00:00:00",12022,8632
"2023-10-16 00:00:00",9380,5891
"2023-10-17 00:00:00",9160,5591
"2023-10-18 00:00:00",8588,5294
"2023-10-19 00:00:00",8364,5094
"2023-10-20 00:00:00",8487,5308
"2023-10-21 00:00:00",9988,6868
"2023-10-22 00:00:00",9392,6942
"2023-10-23 00:00:00",7544,4793
"2023-10-24 00:00:00",7380,4501
"2023-10-25 00:00:00",7119,4406
"2023-10-26 00:00:00",7684,4770
"2023-10-27 00:00:00",8604,5449
"2023-10-28 00:00:00",10622,7410
"2023-10-29 00:00:00",10934,8058
"2023-10-30 00:00:00",9081,5890
"2023-10-31 00:00:00",9130,5789
"2023-11-01 00:00:00",9444,6012
"2023-11-02 00:00:00",9496,6015
"2023-11-03 00:00:00",9471,6235
"2023-11-04 00:00:00",10858,7691
"2023-11-05 00:00:00",10722,7980
"2023-11-06 00:00:00",8684,5657
"2023-11-07 00:00:00",8527,5431
"2023-11-08 00:00:00",7838,5107
"2023-11-09 00:00:00",7573,4861
"2023-11-10 00:00:00",7814,5102
"2023-11-11 00:00:00",8829,6347
"2023-11-12 00:00:00",8465,6406
"2023-11-13 00:00:00",6724,4440
"2023-11-14 00:00:00",6570,4216
"2023-11-15 00:00:00",6460,4151
"2023-11-16 00:00:00",6207,3965
"2023-11-17 00:00:00",6467,4147
"2023-11-18 00:00:00",7485,5356
"2023-11-19 00:00:00",7246,5441
"2023-11-20 00:00:00",5878,3946
"2023-11-21 00:00:00",5681,3689
"2023-11-22 00:00:00",6144,3965
"2023-11-23 00:00:00",6716,4476
"2023-11-24 00:00:00",7151,4829
"2023-11-25 00:00:00",8462,6209
"2023-11-26 00:00:00",8633,6516
"2023-11-27 00:00:00",7225,4716
"2023-11-28 00:00:00",7402,4608
"2023-11-29 00:00:00",7240,4623
"2023-11-30 00:00:00",6949,4405
"2023-12-01 00:00:00",6985,4538
"2023-12-02 00:00:00",8036,5782
"2023-12-03 00:00:00",7821,5850
"2023-12-04 00:00:00",6282,4060
"2023-12-05 00:00:00",6055,3782
"2023-12-06 00:00:00",5880,3696
"2023-12-07 00:00:00",5589,3569
"2023-12-08 00:00:00",7363,4494
"2023-12-09 00:00:00",9657,6686
"2023-12-10 00:00:00",10459,7581
"2023-12-11 00:00:00",8987,5699
"2023-12-12 00:00:00",9053,5618
"2023-12-13 00:00:00",9097,5635
"2023-12-14 00:00:00",9267,5655
"2023-12-15 00:00:00",9616,6033
"2023-12-16 00:00:00",11231,7765
"2023-12-17 00:00:00",11099,8215
"2023-12-18 00:00:00",9460,6130
"2023-12-19 00:00:00",9476,6061
"2023-12-20 00:00:00",9267,5995
"2023-12-21 00:00:00",9320,6107
"2023-12-22 00:00:00",10042,6737
"2023-12-23 00:00:00",11744,8461
"2023-12-24 00:00:00",11744,8723
"2023-12-25 00:00:00",11678,8061
"2023-12-26 00:00:00",11873,8289
"2023-12-27 00:00:00",11202,8078
"2023-12-28 00:00:00",11394,8175
"2023-12-29 00:00:00",11898,8599
"2023-12-30 00:00:00",12824,9756
"2023-12-31 00:00:00",12394,9767
"2024-01-01 00:00:00",12413,9646
"2024-01-02 00:00:00",11885,8470
"2024-01-03 00:00:00",11390,8028
"2024-01-04 00:00:00",11111,7849
"2024-01-05 00:00:00",11390,7919
"2024-01-06 00:00:00",12203,9158
"2024-01-07 00:00:00",11819,9117
"2024-01-08 00:00:00",9402,6732
"2024-01-09 00:00:00",8828,6119
"2024-01-10 00:00:00",8319,5778
"2024-01-11 00:00:00",8013,5572
"2024-01-12 00:00:00",8320,5791
"2024-01-13 00:00:00",9623,7296
"2024-01-14 00:00:00",9592,7470
"2024-01-15 00:00:00",7703,5700
"2024-01-16 00:00:00",7507,5349
"2024-01-17 00:00:00",7174,5082
"2024-01-18 00:00:00",7084,4996
"2024-01-19 00:00:00",7328,5113
"2024-01-20 00:00:00",8670,6405
"2024-01-21 00:00:00",8490,6670
"2024-01-22 00:00:00",6802,4895
"2024-01-23 00:00:00",6567,4699
"2024-01-24 00:00:00",6461,4577
"2024-01-25 00:00:00",6915,4881
"2024-01-26 00:00:00",7538,5411
"2024-01-27 00:00:00",9374,7034
"2024-01-28 00:00:00",10165,7727
"2024-01-29 00:00:00",8358,6042
"2024-01-30 00:00:00",8650,5962
"2024-01-31 00:00:00",8101,5790
"2024-02-01 00:00:00",7774,5494
"2024-02-02 00:00:00",8025,5705
"2024-02-03 00:00:00",9119,6869
"2024-02-04 00:00:00",9364,6978
"2024-02-05 00:00:00",7396,5485
"2024-02-06 00:00:00",6993,5082
"2024-02-07 00:00:00",6671,4926
"2024-02-08 00:00:00",6725,4875
"2024-02-09 00:00:00",6992,5085
"2024-02-10 00:00:00",8167,6084
"2024-02-11 00:00:00",8592,6377
"2024-02-12 00:00:00",7077,5474
"2024-02-13 00:00:00",7043,5192
"2024-02-14 00:00:00",6510,4809
"2024-02-15 00:00:00",6512,4714
"2024-02-16 00:00:00",6788,4951
"2024-02-17 00:00:00",7637,5707
"2024-02-18 00:00:00",7814,5811
"2024-02-19 00:00:00",6349,4675
